"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 10-Nov-2023"
TRENT,"6,520.00","6,717.90","6,500.00","6,480.70","6,607.50",-,126.8,1.96,"9,42,296",625.23,"8,345.00","2,485.35",-21.3,160.34
BHARTIARTL,"1,568.80","1,595.00","1,567.20","1,560.55","1,573.25",-,12.7,0.81,"23,12,438",365.71,"1,779.00",933,-7.52,66.81
HCLTECH,"1,891.00","1,892.95","1,872.05","1,867.30","1,881.00",-,13.7,0.73,"15,44,011",290.51,"1,892.95","1,235.00",1.5,48.74
INFY,"1,871.10","1,881.00","1,861.85","1,860.10","1,872.95",-,12.85,0.69,"27,87,270",522.05,"1,991.45","1,358.35",-3.88,35.89
SUNPHARMA,"1,801.90","1,825.00","1,795.10","1,794.60","1,805.95",-,11.35,0.63,"11,46,650",208.46,"1,960.35","1,171.00",-5.64,52.17
ICICIBANK,"1,276.15","1,295.00","1,269.55","1,269.30","1,272.75",-,3.45,0.27,"61,14,333",784.25,"1,362.35",914.75,3.79,35.23
ONGC,260.85,263.2,256.25,256.9,257.55,-,0.65,0.25,"1,70,02,916",441.11,345,188.15,-12.19,31.14
RELIANCE,"1,275.55","1,289.30","1,271.55","1,272.70","1,275.35",-,2.65,0.21,"62,23,265",796.31,"1,608.80","1,155.85",-53.62,-45.02
SBILIFE,"1,569.10","1,585.95","1,563.10","1,566.00","1,568.80",-,2.8,0.18,"5,80,170",91.31,"1,936.00","1,307.70",-9.74,15.54
GRASIM,"2,523.25","2,546.25","2,514.45","2,519.50","2,520.35",-,0.85,0.03,"3,10,823",78.69,"2,877.75","1,913.85",-7.56,29.67
TCS,"4,216.00","4,218.00","4,164.35","4,198.70","4,200.00",-,1.3,0.03,"8,07,167",338.38,"4,592.25","3,327.00",1.19,25.96
